Idx,Feature,Thrust,Roll,Pitch,Yaw,Sum
90,dir_to_target_body_z,0.8663986500694851,0.33518697114769236,0.13339696787057947,0.031086117569782218,1.3660687066575392
121,thrust_alignment,0.8686524151779184,0.31994425336682636,0.06799944971931685,0.06775051003105115,1.3243466282951126
123,integral_thrust_alignment,0.866018082120392,0.30414579066705677,0.12253479932469188,0.02002670305942917,1.31272537517157
108,integral_ctrl_thrust,0.7719017283270553,0.2886031291999616,0.11290904804584644,0.0129007045953437,1.186314610168207
96,integral_dir_to_target_body_z,0.7266050710393505,0.2767406126572557,0.08339471074835887,0.040653074743316635,1.1273934691882816
29,vel_over_dist_z,0.5539666494477765,0.1884323843324861,0.17934864595523697,0.02686183922746992,0.9486095189629694
98,rot_err_y,0.6098779239732666,0.23716059953166144,0.055013345235129275,0.03368425229755042,0.9357361210376077
19,derivative_pos_err_z,0.545215765170147,0.2468499930857775,0.11558792533896833,0.013917411817591954,0.9215710954124848
109,integral_ctrl_roll,0.5732102949344463,0.20759570912494515,0.09626550378682253,0.0423439432125192,0.9194154510587332
93,derivative_dir_to_target_body_z,0.5366731289885349,0.21949090394030682,0.07607051878382826,0.008897628471682545,0.8411321801843524
3,vel_x,0.47214532609987564,0.1341478270770096,0.10203295105587606,0.034268191155109436,0.7425942953878708
53,skid_vel_z,0.3824981814451982,0.16510054408073982,0.10405070939351412,0.03717122264882149,0.6888206575682736
51,skid_vel_x,0.39286247954304415,0.14894898639498153,0.11581108401294617,0.01695223228494768,0.6745747822359195
27,vel_over_dist_x,0.3909959251801126,0.13327956715824313,0.11505369808047469,0.02956798189630838,0.6688971723151388
100,prev_ctrl_thrust,0.38976693641658133,0.16458440594257423,0.07953930849775087,0.028462172810134308,0.6623528236670407
60,rot_matrix_y0,0.3938114708665521,0.14062825889877578,0.10547591957730672,0.020857735639988436,0.660773384982623
120,integral_world_thrust_z,0.3912879939383411,0.15926063318849656,0.07584118159491113,0.006965975931612911,0.6333557846533617
55,angular_momentum_y,0.33487200974162523,0.12209258908204268,0.10280801539814494,0.038954313489133814,0.5987269277109467
71,derivative_rot_matrix_y2,0.3754741742361213,0.14034256508226212,0.06108965128747394,0.010264332493960054,0.5871707230998174
64,rot_matrix_z1,0.37731837166060195,0.12499309827738718,0.06893575812306858,0.00938657824235607,0.5806338063034139
33,vel_norm_x,0.36131562511428467,0.11917738359249287,0.08472860033851119,0.00778443217626296,0.5730060412215517
80,integral_rot_matrix_y2,0.34846588545476154,0.12339387182745758,0.07132078096000265,0.006318576716762875,0.5494991149589846
118,integral_world_thrust_x,0.34069202795860154,0.09637601170503583,0.0796163345792267,0.007913469500957419,0.5245978437438215
21,sec_derivative_pos_err_y,0.37429522072941046,0.10087686341153453,0.035668852456206115,0.013191063547776135,0.5240320001449272
12,dist_to_target,0.32917395469527133,0.10391254101391073,0.041307501795697865,0.037488054573501045,0.511882052078381
39,integral_vel_x,0.2598454278418026,0.07612517899836345,0.11951198767611268,0.044659774717774006,0.5001423692340528
78,integral_rot_matrix_y0,0.31364456096401405,0.10483366652076324,0.055953591102881346,0.006622969023033218,0.48105478761069187
26,vel_along_err,0.32452703289569923,0.09351420751295988,0.03261412368872627,0.029569191706675824,0.4802245558040612
59,rot_matrix_x2,0.275031788995072,0.09045323549898972,0.09195701639299297,0.016633018685614873,0.4740750595726696
