Idx,Feature,Thrust,Roll,Pitch,Yaw,Sum
56,rot_matrix_y2,0.227434619140625,0.45488291015625,0.08383296508789062,0.1434319580078125,0.9095824523925781
58,rot_matrix_z1,0.231994287109375,0.45164150390625,0.08706258544921874,0.1377562744140625,0.9084546508789062
76,integral_rot_matrix_z1,0.2202688720703125,0.43095126953125,0.08069388427734375,0.14089287109375,0.8728068969726563
74,integral_rot_matrix_y2,0.205913037109375,0.3952026611328125,0.07184021606445312,0.1351632568359375,0.8081191711425781
95,world_thrust_y,0.08244567260742187,0.42231171875,0.09094232788085937,0.12124527587890625,0.7169449951171876
28,vel_over_dist_y,0.036761102294921875,0.415193603515625,0.08675057373046875,0.16128631591796874,0.6999915954589844
30,ang_vel_over_dist_x,0.153446533203125,0.3470318603515625,0.046448965454101564,0.149480419921875,0.6964077789306641
47,skid_vel_z,0.46507314453125,0.0841239013671875,0.020090821838378906,0.06590921630859375,0.6351970840454102
134,ctrl_hist_9_roll,0.12846663818359375,0.337636279296875,0.05044593505859375,0.11426707763671876,0.6308159301757812
34,vel_norm_y,0.07065201416015625,0.3643659423828125,0.07229284057617187,0.11130205078125,0.6186128479003906
6,ang_x,0.136244287109375,0.295435595703125,0.061731494140625,0.09988746948242187,0.5932988464355469
11,pos_err_z,0.483936474609375,0.044856280517578125,0.004995850372314453,0.043455706787109374,0.577244312286377
67,derivative_rot_matrix_z1,0.2653779052734375,0.16495089111328126,0.05907649536132813,0.04526331176757813,0.5346686035156251
65,derivative_rot_matrix_y2,0.2601168701171875,0.15128619384765624,0.05074331665039063,0.05087046203613281,0.5130168426513672
19,derivative_pos_err_z,0.3540973876953125,0.11191766357421876,0.025717120361328127,0.01697965087890625,0.5087118225097657
102,ctrl_hist_1_roll,0.13571328125,0.212823583984375,0.011963512420654297,0.1426778564453125,0.5031782341003418
16,pos_norm_z,0.425872509765625,0.016853875732421874,0.008455264282226562,0.049861117553710935,0.5010427673339843
84,dir_to_target_body_z,0.3917994384765625,0.05603569946289062,0.014976339721679688,0.02416337432861328,0.48697485198974605
114,ctrl_hist_4_roll,0.03174304809570312,0.306626416015625,0.020611582946777344,0.12731680908203125,0.4862978561401367
37,derivative_vel_y,0.021953150939941407,0.3044967529296875,0.06471994018554687,0.08455216064453125,0.47572200469970705
87,derivative_dir_to_target_body_z,0.3128407958984375,0.077958447265625,0.0054734455108642575,0.07646424560546874,0.47273693428039554
92,rot_err_y,0.340177587890625,0.09892638549804687,0.012223641204833985,0.016940155029296876,0.46826776962280275
25,integral_pos_err_z,0.375623876953125,0.026644036865234377,0.004171808242797851,0.05071470336914063,0.45715442543029783
142,ctrl_hist_11_roll,0.050637747192382815,0.2482717041015625,0.0438951171875,0.11052286376953124,0.45332743225097655
113,ctrl_hist_4_thrust,0.28737021484375,0.125473828125,0.012844520568847656,0.027300668334960938,0.4529892318725586
130,ctrl_hist_8_roll,0.1294943115234375,0.196467138671875,0.013385917663574219,0.09482982177734375,0.43417718963623053
154,ctrl_hist_14_roll,0.05018738403320312,0.2512044677734375,0.04300938720703125,0.07412977905273438,0.41853101806640625
126,ctrl_hist_7_roll,0.086053466796875,0.20632978515625,0.029708074951171875,0.08874437255859376,0.4108356994628906
48,angular_momentum_x,0.014441773986816406,0.2821828125,0.03838030700683594,0.074653564453125,0.4096584579467773
26,vel_along_err,0.305534716796875,0.03389158020019531,0.021233464050292968,0.03790284423828125,0.39856260528564447
22,sec_derivative_pos_err_z,0.215638916015625,0.07567439575195313,0.002773159980773926,0.06545897216796875,0.3595454439163208
83,dir_to_target_body_y,0.0676854248046875,0.19573060302734374,0.04524558715820313,0.04846462707519531,0.3571262420654297
4,vel_y,0.06327811279296874,0.191418701171875,0.0437447509765625,0.05731828002929688,0.3557598449707032
150,ctrl_hist_13_roll,0.164888671875,0.12556998291015625,0.007169390869140625,0.05119260559082031,0.3488206512451172
117,ctrl_hist_5_thrust,0.2859448486328125,0.014143049621582032,0.019384320068359374,0.021723545837402342,0.34119576416015623
90,integral_dir_to_target_body_z,0.260645166015625,0.023655697631835938,0.0048879524230957035,0.05182717895507812,0.34101599502563473
109,ctrl_hist_3_thrust,0.2157765625,0.06447979125976562,0.01687001953125,0.041340090942382814,0.33846646423339843
133,ctrl_hist_9_thrust,0.215091845703125,0.0663691162109375,0.011257022857666015,0.04541324462890625,0.3381312294006348
138,ctrl_hist_10_roll,0.02480622100830078,0.20134486083984374,0.05353600463867188,0.056502191162109375,0.33618927764892576
122,ctrl_hist_6_roll,0.03813449096679687,0.17742894287109376,0.0037638126373291014,0.10574007568359375,0.3250673221588135
106,ctrl_hist_2_roll,0.018636637878417968,0.21309677734375,0.02977218322753906,0.06348604736328126,0.32499164581298823
