Idx,Feature,Vel_x,Vel_y,Vel_z,Sum
49,rot_matrix_z0,0.15632325236002603,0.3419708251953125,4.602342447916667,1.2555795084635417,6.356216033935547
67,integral_rot_matrix_z0,0.12983468627929687,0.3634121500651042,3.5608831380208334,0.99546044921875,5.049590423583984
79,world_thrust_x,0.27052980550130207,0.950625244140625,2.889818359375,0.823907958984375,4.934881368001301
75,derivative_dir_to_target_body_z,1.0176473795572916,0.25933339436848957,0.17459796142578124,0.7824270833333333,2.2340058186848957
11,derivative_pos_err_z,0.937574951171875,0.20582206217447915,0.39199776204427084,0.7311219075520833,2.266516682942708
55,derivative_rot_matrix_y0,0.5444287516276042,0.9466627604166666,0.6718359375,0.6358495279947917,2.7987769775390627
53,derivative_rot_matrix_x1,0.6204455973307291,0.5888411051432292,0.6807710774739584,0.6159710693359375,2.506028849283854
32,ang_vel_norm_y,0.10119364420572917,0.25277838134765623,2.5931866861979165,0.5862594807942708,3.5334181925455725
72,dir_to_target_body_z,0.5431301676432292,0.12850282796223958,0.16216044108072916,0.5757496744791667,1.4095431111653647
45,rot_matrix_x2,0.11125848388671875,0.927922607421875,2.3873766276041666,0.563438720703125,3.989996439615885
23,ang_vel_over_dist_y,0.0999679463704427,0.1056502685546875,1.8736726888020834,0.48513850911458334,2.564429412841797
28,derivative_vel_x,0.05154305521647135,0.47032356770833333,1.188734130859375,0.3819813232421875,2.0925820770263672
80,world_thrust_y,0.1529772237141927,2.1294122721354167,1.3445602213541668,0.374229736328125,4.001179453531901
24,ang_vel_over_dist_z,0.08673755900065104,0.08956998697916667,0.14961814371744792,0.352720947265625,0.6786466369628906
78,integral_dir_to_target_body_z,0.41017875162760414,0.14470896402994793,0.308857421875,0.3437429606119792,1.2074880981445313
19,vel_over_dist_x,0.10622746785481771,0.09568004353841146,1.1010585123697916,0.3215982666015625,1.6245642903645832
21,vel_over_dist_z,0.33169283040364583,0.09052865600585938,0.09190732828776042,0.3161842244466146,0.8303130391438802
39,skid_vel_z,0.390629150390625,0.2125105997721354,0.18073982747395834,0.30654252115885416,1.0904220987955728
63,integral_rot_matrix_x2,0.14181699625651042,0.8882202962239584,1.4846827799479168,0.30538686116536456,2.8201069335937503
12,sec_derivative_pos_err_x,0.49942529296875,0.15044451904296874,0.1860382080078125,0.2906473592122396,1.1265553792317708
57,derivative_rot_matrix_y2,0.16678004964192708,1.0353802083333334,0.8346600748697917,0.2602934773763021,2.2971138102213544
48,rot_matrix_y2,0.30729536946614583,1.8451953125,1.08347021484375,0.2576789347330729,3.493639831542969
8,pos_err_z,0.0911171875,0.17218819173177083,0.10393346150716146,0.2566675821940104,0.6239064229329427
52,derivative_rot_matrix_x0,0.31393776448567706,0.2234699503580729,0.15248558553059896,0.25094637044270834,0.9408396708170572
58,derivative_rot_matrix_z0,0.10630810546875,0.14815040079752603,0.2753981526692708,0.20553615315755208,0.735392812093099
15,integral_pos_err_x,0.0466657969156901,0.08482170613606771,0.699223388671875,0.1882493896484375,1.0189602813720702
31,ang_vel_norm_x,0.24029270426432292,2.231160319010417,0.4415805257161458,0.17499739583333335,3.088030944824219
50,rot_matrix_z1,0.372891845703125,3.4822483723958335,0.415944580078125,0.16938722737630207,4.440472025553386
9,derivative_pos_err_x,0.2339173583984375,0.3270427449544271,0.8032274576822916,0.1688253377278646,1.533012898763021
70,dir_to_target_body_x,0.1048399658203125,0.06829143778483072,0.28011761474609376,0.16247037760416666,0.6157193959554037
113,ctrl_hist_7_yaw,0.030144760131835938,0.061929662068684894,0.12253518676757813,0.1477767130533854,0.36238632202148435
17,integral_pos_err_z,0.09002157592773438,0.058039830525716145,0.12950042724609376,0.1465337931315104,0.42409562683105473
121,ctrl_hist_9_yaw,0.04445945231119792,0.1436001485188802,0.05558716328938802,0.14651527913411458,0.3901620432535807
68,integral_rot_matrix_z1,0.47967586263020834,2.7523763020833334,0.22102903238932292,0.13869410196940105,3.591775299072266
144,ctrl_hist_15_pitch,0.07794905090332031,0.12286965942382813,0.26211566162109373,0.13861056518554687,0.6015449371337891
66,integral_rot_matrix_y2,0.37891715494791667,1.35902294921875,0.77203662109375,0.1383507588704427,2.6483274841308595
26,vel_norm_y,0.27797957356770836,0.5259095052083333,0.09385684204101563,0.1348441365559896,1.032590057373047
85,ctrl_hist_0_yaw,0.0487454833984375,0.05807040405273438,0.15081661987304687,0.13480614217122397,0.3924386494954427
35,derivative_ang_vel_y,0.070577880859375,0.13730960083007812,0.2975165201822917,0.13347683715820313,0.638880839029948
101,ctrl_hist_4_yaw,0.05320008341471354,0.06591379801432291,0.11878766886393229,0.13061088053385417,0.3685124308268229
27,vel_norm_z,0.06278999837239584,0.11553859456380208,0.08229954020182291,0.13016400146484375,0.39079213460286455
